,Title,Company,url,Location,company_url
0,"Software Engineer, Backend",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-backend-at-lyft-4377896116?position=1&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=9H93pZNXS0KAozsbts3LWg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
1,Software Engineer I - Junior,Mercor,https://ca.linkedin.com/jobs/view/software-engineer-i-junior-at-mercor-4388165558?position=2&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=wON6IycJEwPT2ue5syazTA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/mercor-ai?trk=public_jobs_jserp-result_job-search-card-subtitle
2,Software Engineer - All Levels,GlossGenius,https://ca.linkedin.com/jobs/view/software-engineer-all-levels-at-glossgenius-4286968059?position=3&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=qlZluLM32u37hLBgrZrBQA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/glossgenius?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Software Engineer I - Entry Level,Mercor,https://ca.linkedin.com/jobs/view/software-engineer-i-entry-level-at-mercor-4388173179?position=4&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=Oh6JEvMTcdgpYWuZcYLoTw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/mercor-ai?trk=public_jobs_jserp-result_job-search-card-subtitle
4,"Software Engineer, Co-op",ecobee,https://ca.linkedin.com/jobs/view/software-engineer-co-op-at-ecobee-4385488747?position=5&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=nC2YVwpHS33%2BNVRf234Frg%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/ecobee?trk=public_jobs_jserp-result_job-search-card-subtitle
5,"Software Engineer, Backend",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-backend-at-lyft-4377886825?position=6&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=9TJuf%2BNnJixaFNgE6003rg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
6,"Software Engineer, AI Entries",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-ai-entries-at-lyft-4378089606?position=7&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=Fpxb6C6d5xFylMM56%2FyJOA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
7,"Software Developer, New Grad",IXL Learning,https://ca.linkedin.com/jobs/view/software-developer-new-grad-at-ixl-learning-4374098762?position=8&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=h227HnroWlKNz3AoVYUvcw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/ixl-learning?trk=public_jobs_jserp-result_job-search-card-subtitle
8,Full-Stack Software Engineer (New Grad),Nue.io,https://ca.linkedin.com/jobs/view/full-stack-software-engineer-new-grad-at-nue-io-4388155951?position=9&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=OhF%2Bvw52iS4DSAZPRvaydw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/nue-io?trk=public_jobs_jserp-result_job-search-card-subtitle
9,Full-Stack Software Engineer,Mercor,https://ca.linkedin.com/jobs/view/full-stack-software-engineer-at-mercor-4388170324?position=10&pageNum=0&refId=Bn4ncWTbf515v7BeDbcpyQ%3D%3D&trackingId=mNHhfqY%2BAqPkhqVfRkqpGQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/mercor-ai?trk=public_jobs_jserp-result_job-search-card-subtitle
10,Digital Software Developer,Mercor,https://ca.linkedin.com/jobs/view/digital-software-developer-at-mercor-4388176152?position=1&pageNum=2&refId=2kesRtJOIg0ySPOIp8I0cA%3D%3D&trackingId=izpTpB5H%2BqRjm1DoMVN0xw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/mercor-ai?trk=public_jobs_jserp-result_job-search-card-subtitle
11,Junior Web Developer,Tech Consulting,https://ca.linkedin.com/jobs/view/junior-web-developer-at-tech-consulting-4387379633?position=2&pageNum=2&refId=2kesRtJOIg0ySPOIp8I0cA%3D%3D&trackingId=NhZ7WmcaxJyLGAJXQj66jQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/techconsultingusa?trk=public_jobs_jserp-result_job-search-card-subtitle
12,Software Developer,Euna Solutions,https://ca.linkedin.com/jobs/view/software-developer-at-euna-solutions-4377898843?position=3&pageNum=2&refId=2kesRtJOIg0ySPOIp8I0cA%3D%3D&trackingId=NnJNYBwntTQ7V3ht5DJVDA%3D%3D,"Oakville, Ontario, Canada",https://www.linkedin.com/company/eunasolutions?trk=public_jobs_jserp-result_job-search-card-subtitle
13,Software Engineer | $65/hr Max Rate,Mercor,https://ca.linkedin.com/jobs/view/software-engineer-%2465-hr-max-rate-at-mercor-4388158944?position=4&pageNum=2&refId=2kesRtJOIg0ySPOIp8I0cA%3D%3D&trackingId=%2FCeUAwSuxXj%2FU6RTfTZpmA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/mercor-ai?trk=public_jobs_jserp-result_job-search-card-subtitle
14,Front End Engineer - Analytics & Compute Experience,Snowflake,https://ca.linkedin.com/jobs/view/front-end-engineer-analytics-compute-experience-at-snowflake-4387489400?position=5&pageNum=2&refId=2kesRtJOIg0ySPOIp8I0cA%3D%3D&trackingId=M7rCMG50B7JL9zk6iMjepQ%3D%3D,"Ontario, Canada",https://www.linkedin.com/company/snowflake-computing?trk=public_jobs_jserp-result_job-search-card-subtitle
15,Full Stack Software Engineer,Citi,https://ca.linkedin.com/jobs/view/full-stack-software-engineer-at-citi-4367286815?position=6&pageNum=2&refId=2kesRtJOIg0ySPOIp8I0cA%3D%3D&trackingId=%2FaqUzFzyH7s6JOspVv0x%2FA%3D%3D,"Mississauga, Ontario, Canada",https://www.linkedin.com/company/citi?trk=public_jobs_jserp-result_job-search-card-subtitle
16,Software Quality Engineer,Mercor,https://ca.linkedin.com/jobs/view/software-quality-engineer-at-mercor-4388164587?position=7&pageNum=2&refId=2kesRtJOIg0ySPOIp8I0cA%3D%3D&trackingId=lW8Ch3KNQFPjaQqbyUxX%2Bg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/mercor-ai?trk=public_jobs_jserp-result_job-search-card-subtitle
