,Title,Company,url,Location,company_url
0,Software Engineer,Scotiabank,https://ca.linkedin.com/jobs/view/software-engineer-at-scotiabank-4431442027?position=1&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=rNDi6rQg8pfw%2BCrTYH%2FxwA%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/scotiabank?trk=public_jobs_jserp-result_job-search-card-subtitle
1,.NET Developer,CSOFT LIMITED,https://ca.linkedin.com/jobs/view/net-developer-at-csoft-limited-4439975534?position=2&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=IxgTTGZu9sNnIxMdOye8dg%3D%3D,"Ottawa, Ontario, Canada",https://www.linkedin.com/company/csoft-limited?trk=public_jobs_jserp-result_job-search-card-subtitle
2,"Software Engineer II, Backend (Reliability Platform)",Affirm,https://ca.linkedin.com/jobs/view/software-engineer-ii-backend-reliability-platform-at-affirm-4431289680?position=3&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=kXLxoJ9tVrn%2BYovvBQB1MQ%3D%3D,"Windsor, Ontario, Canada",https://www.linkedin.com/company/affirm?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Intermediate Applications Software Developer,BlackBerry,https://ca.linkedin.com/jobs/view/intermediate-applications-software-developer-at-blackberry-4440352079?position=4&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=5eldQp%2BZ3XuGqABLBnkvtA%3D%3D,"Waterloo, Ontario, Canada",https://ca.linkedin.com/company/blackberry?trk=public_jobs_jserp-result_job-search-card-subtitle
4,"Software Developer, Intermediate",Sundayy,https://ca.linkedin.com/jobs/view/software-developer-intermediate-at-sundayy-4440954736?position=5&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=x0Xj7%2F%2BCsqiHn1kI2KMkMw%3D%3D,"Ottawa, Ontario, Canada",https://www.linkedin.com/company/sundayyworld?trk=public_jobs_jserp-result_job-search-card-subtitle
5,Software Developer,FacilityOS,https://ca.linkedin.com/jobs/view/software-developer-at-facilityos-4410410019?position=6&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=%2BxvOTmp%2BkZlp5Dfb%2BgjKbA%3D%3D,"North York, Ontario, Canada",https://ca.linkedin.com/company/facilityos?trk=public_jobs_jserp-result_job-search-card-subtitle
6,AEM Developer - Remote in Canada,GoodLife Fitness,https://ca.linkedin.com/jobs/view/aem-developer-remote-in-canada-at-goodlife-fitness-4438433997?position=7&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=LAkBk0nLa5%2B3oW658SDbPg%3D%3D,"London, Ontario, Canada",https://ca.linkedin.com/company/goodlifefitness?trk=public_jobs_jserp-result_job-search-card-subtitle
7,Software Engineer,Adamson Systems Engineering,https://ca.linkedin.com/jobs/view/software-engineer-at-adamson-systems-engineering-4440821230?position=8&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=SS0peF1lpoNhMTS%2FcH1n0Q%3D%3D,"Port Perry, Ontario, Canada",https://ca.linkedin.com/company/adamson-systems-engineering?trk=public_jobs_jserp-result_job-search-card-subtitle
8,"Software Developer, III",Verily Health,https://ca.linkedin.com/jobs/view/software-developer-iii-at-verily-health-4414709044?position=9&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=7wwle7GXlEgdzHQ%2FKtfh4A%3D%3D,"Waterloo, Ontario, Canada",https://www.linkedin.com/company/verilyhealth?trk=public_jobs_jserp-result_job-search-card-subtitle
9,Test Requisition - New Posting Format,"Canadian Bank Note Company, Limited",https://ca.linkedin.com/jobs/view/test-requisition-new-posting-format-at-canadian-bank-note-company-limited-4437697661?position=10&pageNum=0&refId=wkmCJkRxiP%2BZ4q3invwqew%3D%3D&trackingId=1bocq3ti%2BOpxLAydzxVKSg%3D%3D,"Ottawa, Ontario, Canada",https://ca.linkedin.com/company/canadian-bank-note-company-limited?trk=public_jobs_jserp-result_job-search-card-subtitle
