,Title,Company,url,Location,company_url
0,Software Engineer - Pay,Lyft,https://ca.linkedin.com/jobs/view/software-engineer-pay-at-lyft-4244003411?position=1&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=1YwOEmWVsWudNO04%2FNuNNw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
1,Software Engineer,Lyft,https://ca.linkedin.com/jobs/view/software-engineer-at-lyft-4174597484?position=2&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=RHBchSQw35jgw8oJFjq76A%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
2,Software Engineer - Backend,eBay,https://ca.linkedin.com/jobs/view/software-engineer-backend-at-ebay-4240038724?position=3&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=spOrYjCGdFhzWvyea7k8Hw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/ebay?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Software Engineer 2,eBay,https://ca.linkedin.com/jobs/view/software-engineer-2-at-ebay-4208329789?position=4&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=XXH%2Bo71cP7%2BgL1XOle5ZRQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/ebay?trk=public_jobs_jserp-result_job-search-card-subtitle
4,"Software Developer, Equities",Robinhood,https://ca.linkedin.com/jobs/view/software-developer-equities-at-robinhood-4240837225?position=5&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=YXqa6S6ICOeAzCZUx7oZOA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/robinhood?trk=public_jobs_jserp-result_job-search-card-subtitle
5,"Software Engineer, Frontend",Chainlink Labs,https://ca.linkedin.com/jobs/view/software-engineer-frontend-at-chainlink-labs-4212364901?position=6&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=GwG0q2rhiM9xNaeGSAnxtA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/chainlink-labs?trk=public_jobs_jserp-result_job-search-card-subtitle
6,Full Stack Web Developer (APP D),Lambton College,https://ca.linkedin.com/jobs/view/full-stack-web-developer-app-d-at-lambton-college-4241270307?position=7&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=B0BZoK%2BJTJ9BzeW1mXUXSg%3D%3D,"Sarnia, Ontario, Canada",https://ca.linkedin.com/school/lambton-college-sarnia/?trk=public_jobs_jserp-result_job-search-card-subtitle
7,Software Developer,Larus,https://ca.linkedin.com/jobs/view/software-developer-at-larus-4244085466?position=8&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=WbAXd3nyfAmfJ9uvpl4jzA%3D%3D,"Ottawa, Ontario, Canada",https://ca.linkedin.com/company/larus-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle
8,"Software Developer, Design System",Verily,https://ca.linkedin.com/jobs/view/software-developer-design-system-at-verily-4240767035?position=9&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=2ZpT5mYcqthN0%2BCZpqDdpg%3D%3D,"Waterloo, Ontario, Canada",https://www.linkedin.com/company/verily?trk=public_jobs_jserp-result_job-search-card-subtitle
9,Front-end Developer,"Global Technical Talent, an Inc. 5000 Company",https://ca.linkedin.com/jobs/view/front-end-developer-at-global-technical-talent-an-inc-5000-company-4240043640?position=10&pageNum=0&refId=WOeP7eaA%2Fq7a7N8QS90g3w%3D%3D&trackingId=LaP0xG37rBk%2FsRs5DRM1ng%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/global-technical-talent?trk=public_jobs_jserp-result_job-search-card-subtitle
