,Title,Company,url,Location,company_url
0,"Software Engineer, New Grad (2026 Start)",Zip,https://ca.linkedin.com/jobs/view/software-engineer-new-grad-2026-start-at-zip-4289396950?position=1&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=HaMKrl%2B%2FgqkJabj5xymCTQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/theziphq?trk=public_jobs_jserp-result_job-search-card-subtitle
1,Software Engineer,Fleet,https://ca.linkedin.com/jobs/view/software-engineer-at-fleet-4332056810?position=2&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=wVA33WF%2B%2FijvoPhaBrjHqg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/fleet-commuter-benefits?trk=public_jobs_jserp-result_job-search-card-subtitle
2,Software Engineer I (entry),Jerry,https://ca.linkedin.com/jobs/view/software-engineer-i-entry-at-jerry-4318087848?position=3&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=s3b2Y2RPGxnj5P4a3fl6SQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/jerryinc?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Software Engineer (entry),Jerry,https://ca.linkedin.com/jobs/view/software-engineer-entry-at-jerry-4318099022?position=4&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=1AGrXY8v74NFCGyhmtOwpA%3D%3D,"Greater Toronto Area, Canada",https://www.linkedin.com/company/jerryinc?trk=public_jobs_jserp-result_job-search-card-subtitle
4,Java Developer,Scotiabank,https://ca.linkedin.com/jobs/view/java-developer-at-scotiabank-4263005143?position=5&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=DwEOW%2FwuFdzvfp5jNMOjaQ%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/scotiabank?trk=public_jobs_jserp-result_job-search-card-subtitle
5,Software Developer,Sonele Inc.,https://ca.linkedin.com/jobs/view/software-developer-at-sonele-inc-4319166957?position=6&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=DusCdZGDJX2nEZiXG2ihyg%3D%3D,"Markham, Ontario, Canada",https://ca.linkedin.com/company/sonele?trk=public_jobs_jserp-result_job-search-card-subtitle
6,Software Engineer (entry),Jerry,https://ca.linkedin.com/jobs/view/software-engineer-entry-at-jerry-4318081953?position=7&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=8XNLnqgRytkJksufQzaCHg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/jerryinc?trk=public_jobs_jserp-result_job-search-card-subtitle
7,Software Engineer I (entry),Jerry,https://ca.linkedin.com/jobs/view/software-engineer-i-entry-at-jerry-4318094076?position=8&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=SFQ7XzNOYKmsPveFfHCVdg%3D%3D,"Greater Toronto Area, Canada",https://www.linkedin.com/company/jerryinc?trk=public_jobs_jserp-result_job-search-card-subtitle
8,Front-End Engineer (Contract),Parallelz,https://ca.linkedin.com/jobs/view/front-end-engineer-contract-at-parallelz-4331863565?position=9&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=a9qp2O4TDIuw0lR4VCNHzw%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/parallelz?trk=public_jobs_jserp-result_job-search-card-subtitle
9,"Full Stack Engineer, Payments and Risk",Stripe,https://ca.linkedin.com/jobs/view/full-stack-engineer-payments-and-risk-at-stripe-4211733379?position=10&pageNum=0&refId=7Bhg8MNvmyyGWnL0WIsWxA%3D%3D&trackingId=%2BgB%2BqannRcV3cnW65NkAqg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle
10,"Senior Software Engineer, Frontend (Platform)",Cresta,https://ca.linkedin.com/jobs/view/senior-software-engineer-frontend-platform-at-cresta-4279019470?position=1&pageNum=2&refId=Dm4m2q10%2Fis2rgEVtE75Gw%3D%3D&trackingId=FORIy9YqUvcBz%2Bs4y%2FKNCg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/cresta-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
