,Title,Company,url,Location,company_url
0,"Software Engineer, Rider",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-rider-at-lyft-4266797563?position=1&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=3fC97CCvQWu733J8QwXPlQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
1,"Software Engineer, Front End",Sony Interactive Entertainment,https://ca.linkedin.com/jobs/view/software-engineer-front-end-at-sony-interactive-entertainment-4265968217?position=2&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=bK4dYO9HR3MmwN7R6UaJ8g%3D%3D,"Waterloo, Ontario, Canada",https://www.linkedin.com/company/sony-interactive-entertainment-llc?trk=public_jobs_jserp-result_job-search-card-subtitle
2,UI Platform - Junior Web Full-Stack Engineer (Hybrid),Citi,https://ca.linkedin.com/jobs/view/ui-platform-junior-web-full-stack-engineer-hybrid-at-citi-4267003958?position=3&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=ejWtm%2FgBzR1pl%2Bt5jJpOYQ%3D%3D,"Mississauga, Ontario, Canada",https://www.linkedin.com/company/citi?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Software Developer,Robinhood,https://ca.linkedin.com/jobs/view/software-developer-at-robinhood-4278273063?position=4&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=8LL3lDOlRtfVzCOdUZ%2BedQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/robinhood?trk=public_jobs_jserp-result_job-search-card-subtitle
4,"Software Engineer, Data",Stripe,https://ca.linkedin.com/jobs/view/software-engineer-data-at-stripe-4150904024?position=5&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=t%2BO3oHmbnZsRQQf6OjJfkQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle
5,Junior Software Developer (Askuity division),The Home Depot Canada,https://ca.linkedin.com/jobs/view/junior-software-developer-askuity-division-at-the-home-depot-canada-4266556170?position=6&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=NGKPM7ENKsJRJWRFxxZTOw%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/the-home-depot-canada?trk=public_jobs_jserp-result_job-search-card-subtitle
6,Software Developer,Auvik,https://ca.linkedin.com/jobs/view/software-developer-at-auvik-4280188556?position=7&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=whXcErNB2KfSJbtTNxEIUg%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/auvik?trk=public_jobs_jserp-result_job-search-card-subtitle
7,"Backend Engineer/API, Payments and Risk",Stripe,https://ca.linkedin.com/jobs/view/backend-engineer-api-payments-and-risk-at-stripe-4219395521?position=8&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=fLQfIglF%2Bntq4BP8XxPLeg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle
8,Full Stack Developer,WellnessLiving,https://ca.linkedin.com/jobs/view/full-stack-developer-at-wellnessliving-4278848930?position=9&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=igY3ha33pqceyWjkDPbp8w%3D%3D,"Vaughan, Ontario, Canada",https://ca.linkedin.com/company/wellnesslivingsoftware?trk=public_jobs_jserp-result_job-search-card-subtitle
9,Frontend Developer,Heaven Gifts,https://ca.linkedin.com/jobs/view/frontend-developer-at-heaven-gifts-4280131872?position=10&pageNum=0&refId=m0lq8Op9EkHKPN7sNRkQ%2BA%3D%3D&trackingId=5k152oXV8yT%2FOb4rOd1GpA%3D%3D,"Ontario, Canada",https://cn.linkedin.com/company/heaven-gifts?trk=public_jobs_jserp-result_job-search-card-subtitle
