,Title,Company,url,Location,company_url
0,"Software Engineer, Frontend",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-frontend-at-lyft-4178410370?position=1&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=rtH8tdhPYLXE0qDExsmD3Q%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
1,Software Engineer - Pay,Lyft,https://ca.linkedin.com/jobs/view/software-engineer-pay-at-lyft-4244003411?position=2&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=cXQVNO%2BSrFzDor4u9k1fTw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
2,"Software Developer Co-op, Fall 2025",Intuit,https://ca.linkedin.com/jobs/view/software-developer-co-op-fall-2025-at-intuit-4254318007?position=3&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=w1Cy3LNv4Fyk%2BH9j95opXA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/intuit?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Software Developer,Mappedin,https://ca.linkedin.com/jobs/view/software-developer-at-mappedin-4257216810?position=4&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=iEq361qIlgF7KJ7uYeQ0AQ%3D%3D,"Waterloo, Ontario, Canada",https://ca.linkedin.com/company/mappedin?trk=public_jobs_jserp-result_job-search-card-subtitle
4,Software Engineer - Backend,eBay,https://ca.linkedin.com/jobs/view/software-engineer-backend-at-ebay-4240038724?position=5&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=HpzpXWGqJXCSHQ3JDczXsQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/ebay?trk=public_jobs_jserp-result_job-search-card-subtitle
5,Associate Software Engineer - Spring 2025 Grads,Veeva Consumer Products,https://ca.linkedin.com/jobs/view/associate-software-engineer-spring-2025-grads-at-veeva-consumer-products-4256160450?position=6&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=T0Kfbw991AYIe1sMeq6W1Q%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/showcase/veevaindustries/?trk=public_jobs_jserp-result_job-search-card-subtitle
6,Software Engineer 2,eBay,https://ca.linkedin.com/jobs/view/software-engineer-2-at-ebay-4208329789?position=7&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=cn4IIXcj4d1nJzDTtQO97Q%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/ebay?trk=public_jobs_jserp-result_job-search-card-subtitle
7,Software Engineer: Full-Stack,Fiscal.ai (formerly FinChat),https://ca.linkedin.com/jobs/view/software-engineer-full-stack-at-fiscal-ai-formerly-finchat-4257257888?position=8&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=ohqgSeQ5as%2FFZv06MeXJsw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/finchat-io?trk=public_jobs_jserp-result_job-search-card-subtitle
8,Software Engineer,Scotiabank,https://ca.linkedin.com/jobs/view/software-engineer-at-scotiabank-4240265530?position=9&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=YQhTP%2BOAW5PrhtmLrncKEQ%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/scotiabank?trk=public_jobs_jserp-result_job-search-card-subtitle
9,Software Engineer I,TD,https://ca.linkedin.com/jobs/view/software-engineer-i-at-td-4257465604?position=10&pageNum=0&refId=1t1ZgFZuW4Bs0sdJgDt7Ug%3D%3D&trackingId=i%2FIglrYsw%2BdbwQWZ%2BCEJ2g%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/td?trk=public_jobs_jserp-result_job-search-card-subtitle
10,Web Developer,Varicent,https://ca.linkedin.com/jobs/view/web-developer-at-varicent-4241178464?position=1&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=duRGVVZl1%2Bt1pNAt%2BAjkDw%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/varicent?trk=public_jobs_jserp-result_job-search-card-subtitle
11,Mobile Software Developer Co-op (4 months),Intuit,https://ca.linkedin.com/jobs/view/mobile-software-developer-co-op-4-months-at-intuit-4254311861?position=2&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=PC5e9TFggi2qs4UGlwpvFg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/intuit?trk=public_jobs_jserp-result_job-search-card-subtitle
12,Frontend Developer,Insight Global,https://ca.linkedin.com/jobs/view/frontend-developer-at-insight-global-4255592647?position=3&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=78VfE0GlC1Rsb%2BPPcbmh1A%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/insight-global?trk=public_jobs_jserp-result_job-search-card-subtitle
13,"Software Engineer, Android",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-android-at-lyft-4256053982?position=4&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=RtS14C1R2HC6w4UIvOjQlg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
14,"Software Engineer, Data Collection",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-data-collection-at-lyft-4256052925?position=5&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=oo4evsoIo13y2gE5F1rBDA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
15,Full Stack Software Engineer,Autodesk,https://ca.linkedin.com/jobs/view/full-stack-software-engineer-at-autodesk-4256197795?position=6&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=kzRBAIXOhOPYutnEg1Vbfw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/autodesk?trk=public_jobs_jserp-result_job-search-card-subtitle
16,Software Developer,DataAnnotation,https://ca.linkedin.com/jobs/view/software-developer-at-dataannotation-4217722255?position=7&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=tMbke%2Fl4GltiCbsnfAaxOg%3D%3D,"Ontario, Canada",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_jserp-result_job-search-card-subtitle
17,Software Developer Full Stack 8744-2713,Foilcon,https://ca.linkedin.com/jobs/view/software-developer-full-stack-8744-2713-at-foilcon-4257493042?position=8&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=yk1%2B1s%2BycIsE33OXOI2N5w%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/foilcon?trk=public_jobs_jserp-result_job-search-card-subtitle
18,Software Engineer,DataAnnotation,https://ca.linkedin.com/jobs/view/software-engineer-at-dataannotation-4217731086?position=9&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=eeA2aYOB0ksTPzaE%2BzkOBw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_jserp-result_job-search-card-subtitle
19,Front End Developer (React.js) - Canada,Compunnel Inc.,https://ca.linkedin.com/jobs/view/front-end-developer-react-js-canada-at-compunnel-inc-4257439404?position=10&pageNum=2&refId=HzOfpm380tSA4MNVBCSpCw%3D%3D&trackingId=jn6P3femf9A9Ja6emP3kMw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/compunnel-software-group?trk=public_jobs_jserp-result_job-search-card-subtitle
20,Backend Java Developer,Citi,https://ca.linkedin.com/jobs/view/backend-java-developer-at-citi-4191831243?position=1&pageNum=5&refId=fKx5Dejg33xAwKqCZiH6Ag%3D%3D&trackingId=iNnDyr2dHT8PFiWLbt25eQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/citi?trk=public_jobs_jserp-result_job-search-card-subtitle
21,Python Developer,New York Technology Partners,https://ca.linkedin.com/jobs/view/python-developer-at-new-york-technology-partners-4257431402?position=2&pageNum=5&refId=fKx5Dejg33xAwKqCZiH6Ag%3D%3D&trackingId=Hm0rLyqSFl8t3GQclCD7lQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/new-york-technology-partners?trk=public_jobs_jserp-result_job-search-card-subtitle
22,"Developer, Full Stack",Silk & Snow,https://ca.linkedin.com/jobs/view/developer-full-stack-at-silk-snow-4257716323?position=3&pageNum=5&refId=fKx5Dejg33xAwKqCZiH6Ag%3D%3D&trackingId=2hGTqMqKH7g6PZlDoOok5w%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/silk-snow?trk=public_jobs_jserp-result_job-search-card-subtitle
23,Software Developer,SOTI,https://ca.linkedin.com/jobs/view/software-developer-at-soti-4256047017?position=4&pageNum=5&refId=fKx5Dejg33xAwKqCZiH6Ag%3D%3D&trackingId=1wo%2Bu8%2BWcARJZx3De%2BQFcA%3D%3D,"Mississauga, Ontario, Canada",https://ca.linkedin.com/company/soti?trk=public_jobs_jserp-result_job-search-card-subtitle
