,Title,Company,url,Location,company_url
0,"Software Engineer, Growth Platforms (Backend, K3)",Lyft,https://ca.linkedin.com/jobs/view/software-engineer-growth-platforms-backend-k3-at-lyft-4209845485?position=1&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=CgBU9OMMMmomBUgANfl1Kg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle
1,Software Engineer - Full Stack,Zynga,https://ca.linkedin.com/jobs/view/software-engineer-full-stack-at-zynga-4181185127?position=2&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=vipZ%2BLzLC9HFMJ1k%2FQLNlQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/zynga?trk=public_jobs_jserp-result_job-search-card-subtitle
2,Software Engineer I,EQ Bank | Equitable Bank,https://ca.linkedin.com/jobs/view/software-engineer-i-at-eq-bank-equitable-bank-4223938027?position=3&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=fh%2FcG6uI9CHTriOfFvPq0A%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/equitablebank?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Software Developer,Mappedin,https://ca.linkedin.com/jobs/view/software-developer-at-mappedin-4223220739?position=4&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=tl9jI94q0%2BtIc9k15W%2BgCw%3D%3D,"Waterloo, Ontario, Canada",https://ca.linkedin.com/company/mappedin?trk=public_jobs_jserp-result_job-search-card-subtitle
4,"Software Engineer II, Backend",DoorDash,https://ca.linkedin.com/jobs/view/software-engineer-ii-backend-at-doordash-3980018979?position=5&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=i85yc0wdbfAaMHyigvg2Jg%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/doordash?trk=public_jobs_jserp-result_job-search-card-subtitle
5,Software Engineering Intern (September 2025),Kepler Communications Inc.,https://ca.linkedin.com/jobs/view/software-engineering-intern-september-2025-at-kepler-communications-inc-4222664415?position=6&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=%2ByDnmKFazKHeoZ41mmR0dg%3D%3D,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/kepler-communications-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle
6,"Software Engineer, Intern (Fall 2025)",Sentry,https://ca.linkedin.com/jobs/view/software-engineer-intern-fall-2025-at-sentry-4223919039?position=7&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=C28UCwILF1OXUm56znBnJQ%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/getsentry?trk=public_jobs_jserp-result_job-search-card-subtitle
7,Front End Developer - Master's Level Internship,Vosyn,https://ca.linkedin.com/jobs/view/front-end-developer-master-s-level-internship-at-vosyn-4222381275?position=8&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=r1AkvZ%2FCDZ0hr60%2B%2FdB0NA%3D%3D,"Etobicoke, Ontario, Canada",https://ca.linkedin.com/company/vosyn?trk=public_jobs_jserp-result_job-search-card-subtitle
8,Software Developer Intern- Fall 2025 4 months,Dayforce,https://ca.linkedin.com/jobs/view/software-developer-intern-fall-2025-4-months-at-dayforce-4221164704?position=9&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=l1NoZ3eVc8%2FDd9jvyuRKXw%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/dayforce?trk=public_jobs_jserp-result_job-search-card-subtitle
9,Software Engineer - Front End,Veeva Systems,https://ca.linkedin.com/jobs/view/software-engineer-front-end-at-veeva-systems-4209374763?position=10&pageNum=0&refId=U70VGdqL2hZzfr5uCCb%2BRw%3D%3D&trackingId=Jf2PvyQV7pbhL0PGwOu%2FqA%3D%3D,"Toronto, Ontario, Canada",https://www.linkedin.com/company/veeva-systems?trk=public_jobs_jserp-result_job-search-card-subtitle
